Numéro;Nom;Forme;Principale;Génération;Evolue;Sprite;Type.1;Type.2;PV;ATT;DEF;SATT;SDEF;VIT;Talent.1;Talent.2;Talent.3;Talent.caché;Talent.caché.2;Name;Poids;Taille;Taux.de.capture;Reproduction.1;Reproduction.2;Eclosion;Taux.mâles;Gain.exp;Espèce;EV;Sous.évolution;Violet;Team;Interdit;Pokemon
1;Bulbizarre;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/bulbasaur.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Bulbizarre
2;Herbizarre;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/ivysaur.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Herbizarre
3;Florizarre;Mâle;0;1;FALSE;https://img.pokemondb.net/sprites/home/normal/venusaur.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Florizarre (Mâle)
3;Florizarre;Femelle;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/venusaur-f.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Florizarre (Femelle)
3;Florizarre;Mega;0;6;FALSE;https://img.pokemondb.net/sprites/home/normal/venusaur-mega.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Florizarre (Mega)
3;Florizarre;Gigamax;0;8;FALSE;https://img.pokemondb.net/sprites/home/normal/venusaur-gigantamax.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Florizarre (Gigamax)
4;Salamèche;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/charmander.png;Feu;;39;52;43;60;50;65;Brasier;;;Force Soleil;;Charmander;8.5;0.6;45;Monstrueux;Draconique;20;87.5;Moyennement lent;Lézard;VIT +1;;TRUE;FALSE;NA;Salamèche
5;Reptincel;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/charmeleon.png;Feu;;58;64;58;80;65;80;Brasier;;;Force Soleil;;Charmeleon;19;1.1;45;Monstrueux;Draconique;20;87.5;Moyennement lent;Flamme;SATT +1 / VIT +1;Salamèche (Niveau 16);TRUE;FALSE;NA;Reptincel
6;Dracaufeu;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/charizard.png;Feu;Vol;78;84;78;109;85;100;Brasier;;;Force Soleil;;Charizard;90.5;1.7;20;Monstrueux;Draconique;20;87.5;Moyennement lent;Flamme;SATT +3;Reptincel (Niveau 36);TRUE;FALSE;NA;Dracaufeu
6;Dracaufeu;Mega X;0;6;FALSE;https://img.pokemondb.net/sprites/home/normal/charizard-mega-x.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Dracaufeu (Mega X)
6;Dracaufeu;Mega Y;0;6;FALSE;https://img.pokemondb.net/sprites/home/normal/charizard-mega-y.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Dracaufeu (Mega Y)
6;Dracaufeu;Gigamax;0;8;FALSE;https://img.pokemondb.net/sprites/home/normal/charizard-gigantamax.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Dracaufeu (Gigamax)
7;Carapuce;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/squirtle.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Carapuce
8;Carabaffe;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/wartortle.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Carabaffe
9;Tortank;;1;1;FALSE;https://img.pokemondb.net/sprites/home/normal/blastoise.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Tortank
9;Tortank;Mega;0;6;FALSE;https://img.pokemondb.net/sprites/home/normal/blastoise-mega.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Tortank (Mega)
9;Tortank;Gigamax;0;8;FALSE;https://img.pokemondb.net/sprites/home/normal/blastoise-gigantamax.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Tortank (Gigamax)
10;Chenipan;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/caterpie.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Chenipan
11;Chrysacier;;1;1;TRUE;https://img.pokemondb.net/sprites/home/normal/metapod.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Chrysacier
12;Papilusion;Mâle;0;1;FALSE;https://img.pokemondb.net/sprites/home/normal/butterfree.png;;;NA;NA;NA;NA;NA;NA;;;;;;;NA;NA;NA;;;NA;NA;;;;;FALSE;FALSE;NA;Papilusion (Mâle)
