"P1";"P2";"Vainqueur"
"Roserade (Femelle)";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Apireine";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Spiritomb";"Shaymin (Terrestre)";"Shaymin (Terrestre)"
"Rhinastoc (Mâle)";"Maganon";"Rhinastoc (Mâle)"
"Rhinastoc (Mâle)";"Porygon-Z";"Rhinastoc (Mâle)"
"Blizzaroi (Femelle)";"Cresselia";"Cresselia"
"Lockpin";"Gallame";"Gallame"
"Pingoléon";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Noctunoir";"Regigigas";"Noctunoir"
"Torterra";"Scorvol";"Scorvol"
"Mélokrik (Femelle)";"Coudlangue";"Coudlangue"
"Blizzaroi (Femelle)";"Bouldeneu (Femelle)";"Blizzaroi (Femelle)"
"Castorno (Femelle)";"Giratina";"Giratina"
"Magirêve";"Cresselia";"Cresselia"
"Corboss";"Carchacrok (Mâle)";"Carchacrok (Mâle)"
"Mélokrik (Femelle)";"Dimoret (Mâle)";"Dimoret (Mâle)"
"Rhinastoc (Mâle)";"Togekiss";"Rhinastoc (Mâle)"
"Pijako";"Porygon-Z";"Porygon-Z"
"Dimoret (Mâle)";"Maganon";"Dimoret (Mâle)"
"Bastiodon";"Cresselia";"Cresselia"
"Lockpin";"Yanméga";"Yanméga"
"Magnézone";"Bouldeneu (Femelle)";"Magnézone"
"Archéodong";"Rhinastoc (Mâle)";"Rhinastoc (Mâle)"
"Papilord";"Archéodong";"Papilord"
"Lucario";"Palkia";"Lucario"
"Chaffreux";"Yanméga";"Yanméga"
"Luxray (Mâle)";"Lucario";"Lucario"
"Chaffreux";"Lucario";"Lucario"
"Etouraptor (Mâle)";"Givrali";"Givrali"
"Pingoléon";"Yanméga";"Yanméga"
"Mustéflott (Mâle)";"Arceus (Normal)";"Mustéflott (Mâle)"
"Phyllali";"Darkrai";"Phyllali"
"Magirêve";"Momartik";"Momartik"
"Magnézone";"Mammochon (Mâle)";"Magnézone"
"Mélokrik (Femelle)";"Togekiss";"Togekiss"
"Torterra";"Palkia";"Torterra"
"Noctunoir";"Arceus (Normal)";"Noctunoir"
"Cheniselle (Cape Sable)";"Pijako";"Pijako"
"Simiabraz";"Papilord";"Papilord"
"Spiritomb";"Blizzaroi (Femelle)";"Spiritomb"
"Porygon-Z";"Tarinorme";"Porygon-Z"
"Archéodong";"Drascore";"Drascore"
"Roserade (Femelle)";"Moufflair";"Roserade (Femelle)"
"Dialga";"Arceus (Normal)";"Dialga"
"Heatran";"Phione";"Phione"
"Elekable";"Tarinorme";"Tarinorme"
"Magnézone";"Elekable";"Elekable"
"Créfadet";"Phione";"Créfadet"
"Coatox (Mâle)";"Noctunoir";"Coatox (Mâle)"
"Magnézone";"Tarinorme";"Magnézone"
"Castorno (Femelle)";"Vortente";"Castorno (Femelle)"
"Drascore";"Tarinorme";"Drascore"
"Papilord";"Tarinorme";"Papilord"
"Corboss";"Créfadet";"Créfadet"
"Chaffreux";"Magnézone";"Magnézone"
"Mammochon (Mâle)";"Motisma (Hélice)";"Motisma (Hélice)"
"Moufflair";"Spiritomb";"Spiritomb"
"Lucario";"Coudlangue";"Lucario"
"Hippodocus (Femelle)";"Phyllali";"Phyllali"
"Magnézone";"Cresselia";"Cresselia"
"Chaffreux";"Porygon-Z";"Porygon-Z"
"Vortente";"Bouldeneu (Femelle)";"Vortente"
"Bastiodon";"Vortente";"Vortente"
"Mustéflott (Mâle)";"Lucario";"Lucario"
"Papilord";"Pijako";"Papilord"
"Corboss";"Gallame";"Gallame"
"Elekable";"Arceus (Normal)";"Arceus (Normal)"
"Luxray (Mâle)";"Moufflair";"Luxray (Mâle)"
"Mélokrik (Femelle)";"Porygon-Z";"Porygon-Z"
"Corboss";"Phyllali";"Phyllali"
"Mustéflott (Mâle)";"Cresselia";"Mustéflott (Mâle)"
"Pijako";"Spiritomb";"Spiritomb"
"Simiabraz";"Givrali";"Givrali"
"Capidextre (Femelle)";"Arceus (Normal)";"Arceus (Normal)"
"Castorno (Femelle)";"Créhelf";"Créhelf"
"Torterra";"Simiabraz";"Torterra"
"Etouraptor (Mâle)";"Phione";"Phione"
"Pingoléon";"Apireine";"Apireine"
"Grodrive";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Torterra";"Castorno (Femelle)";"Torterra"
"Apireine";"Chaffreux";"Apireine"
"Bastiodon";"Coatox (Mâle)";"Coatox (Mâle)"
"Charkos";"Pachirisu (Mâle)";"Pachirisu (Mâle)"
"Castorno (Femelle)";"Créfollet";"Castorno (Femelle)"
"Créhelf";"Darkrai";"Créhelf"
"Castorno (Femelle)";"Luminéon (Femelle)";"Luminéon (Femelle)"
"Cresselia";"Shaymin (Terrestre)";"Cresselia"
"Porygon-Z";"Cresselia";"Cresselia"
"Etouraptor (Mâle)";"Giratina";"Giratina"
"Corboss";"Dialga";"Dialga"
"Archéodong";"Phione";"Phione"
"Spiritomb";"Phione";"Phione"
"Vortente";"Porygon-Z";"Porygon-Z"
"Pijako";"Yanméga";"Yanméga"
"Gallame";"Phione";"Gallame"
"Motisma (Hélice)";"Regigigas";"Motisma (Hélice)"
