"P1";"P2";"Vainqueur"
"Alakazam (Mâle)";"Ectoplasma";"Alakazam (Mâle)"
"Tauros";"Kabutops";"Tauros"
"Sablaireau";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Triopikeur";"Grotadmorv";"Grotadmorv"
"Galopa";"Dracolosse";"Galopa"
"Triopikeur";"Mew";"Mew"
"Parasect";"Ectoplasma";"Ectoplasma"
"Staross";"Electhor";"Staross"
"Florizarre (Femelle)";"Mew";"Florizarre (Femelle)"
"Dracaufeu";"Colossinge";"Dracaufeu"
"Tentacruel";"Tygnon";"Tygnon"
"Feunard";"Pyroli";"Pyroli"
"Dardargnan";"Mewtwo";"Dardargnan"
"Dardargnan";"Ptéra";"Dardargnan"
"Triopikeur";"Galopa";"Galopa"
"Dardargnan";"Kangourex";"Dardargnan"
"Grodoudou";"Kangourex";"Kangourex"
"Mélodelfe";"Galopa";"Galopa"
"Ossatueur";"Amonistar";"Ossatueur"
"Rafflesia (Femelle)";"Triopikeur";"Triopikeur"
"Rapasdepic";"Triopikeur";"Rapasdepic"
"Poissoroy (Mâle)";"Léviator (Mâle)";"Léviator (Mâle)"
"Grotadmorv";"Electhor";"Grotadmorv"
"Nidoking";"Tartard";"Nidoking"
"Akwakwak";"Dracolosse";"Dracolosse"
"Nidoking";"Electrode";"Nidoking"
"Dardargnan";"Persian";"Dardargnan"
"Lamantine";"Lokhlass";"Lokhlass"
"Dracaufeu";"Canarticho";"Dracaufeu"
"Hypnomade (Femelle)";"Staross";"Staross"
"Poissoroy (Mâle)";"Dracolosse";"Dracolosse"
"Aéromite";"Kicklee";"Aéromite"
"Krabboss";"Sulfura";"Sulfura"
"Triopikeur";"Grolem";"Grolem"
"Tortank";"Lokhlass";"Lokhlass"
"Krabboss";"Mew";"Mew"
"Rattatac (Mâle)";"Poissoroy (Mâle)";"Rattatac (Mâle)"
"Rattatac (Mâle)";"Ossatueur";"Ossatueur"
"Tygnon";"Poissoroy (Mâle)";"Tygnon"
"Tartard";"M. Mime";"Tartard"
"Grolem";"Tauros";"Grolem"
"Arbok";"Léviator (Mâle)";"Arbok"
"Tygnon";"Artikodin";"Artikodin"
"Aquali";"Kabutops";"Aquali"
"Grodoudou";"Rafflesia (Femelle)";"Grodoudou"
"Aéromite";"Staross";"Staross"
"Parasect";"Amonistar";"Amonistar"
"Lippoutou";"Léviator (Mâle)";"Léviator (Mâle)"
"Tortank";"Nidoqueen";"Nidoqueen"
"Aéromite";"Hypnomade (Femelle)";"Aéromite"
"Aéromite";"Lippoutou";"Aéromite"
"Parasect";"Colossinge";"Colossinge"
"Nidoqueen";"Smogogo";"Nidoqueen"
"Galopa";"Mewtwo";"Galopa"
"Roucarnage";"Lamantine";"Roucarnage"
"Grodoudou";"Pyroli";"Pyroli"
"Arbok";"Kabutops";"Arbok"
"Colossinge";"Galopa";"Galopa"
"Ossatueur";"Tauros";"Tauros"
"Nidoking";"Electhor";"Nidoking"
"Aéromite";"Ossatueur";"Aéromite"
"Canarticho";"Pyroli";"Pyroli"
"Dardargnan";"Voltali";"Voltali"
"Mélodelfe";"Kangourex";"Kangourex"
"Grolem";"Kabutops";"Grolem"
"Lamantine";"Lippoutou";"Lamantine"
"Kicklee";"Kangourex";"Kangourex"
"Poissoroy (Mâle)";"Tauros";"Tauros"
"Persian";"Tygnon";"Tygnon"
"Florizarre (Femelle)";"Mackogneur";"Mackogneur"
"Roucarnage";"Scarabrute";"Roucarnage"
"Léviator (Mâle)";"Dracolosse";"Dracolosse"
"Tauros";"Amonistar";"Tauros"
"Rattatac (Mâle)";"Tartard";"Tartard"
"Persian";"Kabutops";"Kabutops"
"Kangourex";"Mewtwo";"Kangourex"
"Arbok";"M. Mime";"Arbok"
"Parasect";"Staross";"Staross"
"Galopa";"Kicklee";"Galopa"
"Papilusion (Femelle)";"Empiflor";"Papilusion (Femelle)"
"Florizarre (Femelle)";"Alakazam (Mâle)";"Florizarre (Femelle)"
"Feunard";"Grolem";"Feunard"
"Nidoking";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Galopa";"Sulfura";"Galopa"
"Tortank";"Tentacruel";"Tortank"
"Feunard";"Empiflor";"Feunard"
"Dodrio (Mâle)";"Electhor";"Dodrio (Mâle)"
"Crustabri";"M. Mime";"Crustabri"
"Dracaufeu";"Aéromite";"Dracaufeu"
"Kicklee";"M. Mime";"Kicklee"
"Ossatueur";"Smogogo";"Ossatueur"
"Raichu (Mâle)";"Sulfura";"Sulfura"
"Rattatac (Mâle)";"Persian";"Rattatac (Mâle)"
"Tartard";"Electhor";"Tartard"
"Rattatac (Mâle)";"Nidoking";"Nidoking"
"Mélodelfe";"Triopikeur";"Mélodelfe"
"Tentacruel";"Voltali";"Voltali"
"Raichu (Mâle)";"Mackogneur";"Mackogneur"
"Papilusion (Femelle)";"Mélodelfe";"Papilusion (Femelle)"
"Métamorph";"Electhor";"Electhor"
"Dracaufeu";"Kabutops";"Dracaufeu"
"Rafflesia (Femelle)";"Colossinge";"Colossinge"
"Persian";"Ronflex";"Persian"
"Electrode";"Aquali";"Aquali"
"Arbok";"Tauros";"Arbok"
"Parasect";"Léviator (Mâle)";"Parasect"
"Lippoutou";"Scarabrute";"Scarabrute"
"Electrode";"Artikodin";"Artikodin"
"Tortank";"Scarabrute";"Tortank"
"Mélodelfe";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Triopikeur";"Hypnomade (Femelle)";"Triopikeur"
"Ectoplasma";"Electrode";"Ectoplasma"
"Tartard";"Ptéra";"Tartard"
"Rafflesia (Femelle)";"Tauros";"Tauros"
"Aéromite";"Tentacruel";"Aéromite"
"Florizarre (Femelle)";"Tentacruel";"Florizarre (Femelle)"
"Aéromite";"Kabutops";"Aéromite"
"Electrode";"Kabutops";"Kabutops"
"Galopa";"Krabboss";"Galopa"
"Ectoplasma";"Noadkoko";"Ectoplasma"
"Hypnomade (Femelle)";"Tygnon";"Tygnon"
"Sablaireau";"Kangourex";"Kangourex"
"Persian";"Grotadmorv";"Grotadmorv"
"Grolem";"Mew";"Grolem"
"Lippoutou";"Lokhlass";"Lokhlass"
"Ossatueur";"Kangourex";"Kangourex"
"Grolem";"Mewtwo";"Mewtwo"
"Kangourex";"Tauros";"Kangourex"
"Feunard";"Noadkoko";"Feunard"
"Lippoutou";"Ptéra";"Ptéra"
"Grolem";"Voltali";"Grolem"
"Rapasdepic";"Poissoroy (Mâle)";"Rapasdepic"
"Smogogo";"Ronflex";"Smogogo"
"Rapasdepic";"Mew";"Rapasdepic"
"Rapasdepic";"Léviator (Mâle)";"Rapasdepic"
"Scarabrute";"Lokhlass";"Lokhlass"
"Mélodelfe";"Lippoutou";"Mélodelfe"
"Galopa";"Lokhlass";"Lokhlass"
"Mélodelfe";"Pyroli";"Pyroli"
"Nidoqueen";"Arcanin";"Nidoqueen"
"Voltali";"Ptéra";"Voltali"
"Mackogneur";"Voltali";"Voltali"
"Mackogneur";"Galopa";"Galopa"
"Tortank";"Hypnomade (Femelle)";"Tortank"
"Mackogneur";"Artikodin";"Artikodin"
"Florizarre (Femelle)";"Grodoudou";"Florizarre (Femelle)"
"Colossinge";"Noadkoko";"Colossinge"
"Alakazam (Mâle)";"Aquali";"Aquali"
"Mélodelfe";"Hypnomade (Femelle)";"Mélodelfe"
"Nidoqueen";"Rafflesia (Femelle)";"Nidoqueen"
"Florizarre (Femelle)";"Electhor";"Florizarre (Femelle)"
"Feunard";"Ptéra";"Feunard"
"Kicklee";"Léviator (Mâle)";"Léviator (Mâle)"
"Galopa";"Lippoutou";"Galopa"
"Rapasdepic";"Grotadmorv";"Rapasdepic"
"Tartard";"Mackogneur";"Mackogneur"
"Crustabri";"Dracolosse";"Crustabri"
"Triopikeur";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Tauros";"Mewtwo";"Tauros"
"Electrode";"Noadkoko";"Electrode"
"Tartard";"Noadkoko";"Tartard"
"Rattatac (Mâle)";"Tentacruel";"Rattatac (Mâle)"
"Lamantine";"Kangourex";"Kangourex"
"Lamantine";"Kabutops";"Lamantine"
"Grotadmorv";"Sulfura";"Sulfura"
"Rapasdepic";"Parasect";"Rapasdepic"
"Arbok";"Lippoutou";"Arbok"
"Arbok";"Tartard";"Arbok"
"Métamorph";"Ptéra";"Ptéra"
"Aéromite";"Canarticho";"Aéromite"
"Tentacruel";"Pyroli";"Pyroli"
"Roucarnage";"Mewtwo";"Roucarnage"
"Tygnon";"Léviator (Mâle)";"Tygnon"
"Canarticho";"Aquali";"Aquali"
"Canarticho";"Kangourex";"Kangourex"
"Tentacruel";"Amonistar";"Amonistar"
"Tartard";"Tentacruel";"Tartard"
"Dracaufeu";"Grodoudou";"Dracaufeu"
"Grolem";"Canarticho";"Grolem"
"Papilusion (Femelle)";"Ptéra";"Papilusion (Femelle)"
"Persian";"Poissoroy (Mâle)";"Poissoroy (Mâle)"
"Ectoplasma";"Kangourex";"Kangourex"
"Mélodelfe";"Mew";"Mélodelfe"
"Akwakwak";"Mew";"Mew"
"Empiflor";"Kicklee";"Empiflor"
"Roucarnage";"Krabboss";"Roucarnage"
"Rattatac (Mâle)";"Kabutops";"Rattatac (Mâle)"
"Rattatac (Mâle)";"Lamantine";"Rattatac (Mâle)"
"Mackogneur";"Lamantine";"Mackogneur"
"Tartard";"Grotadmorv";"Tartard"
"Florizarre (Femelle)";"Scarabrute";"Florizarre (Femelle)"
"Empiflor";"Scarabrute";"Empiflor"
"Amonistar";"Electhor";"Amonistar"
"Sablaireau";"Parasect";"Sablaireau"
"Ectoplasma";"Scarabrute";"Ectoplasma"
"Dracaufeu";"Roucarnage";"Dracaufeu"
"Lamantine";"Electhor";"Lamantine"
"Florizarre (Femelle)";"Poissoroy (Mâle)";"Poissoroy (Mâle)"
"Ossatueur";"Lippoutou";"Ossatueur"
"Nidoqueen";"Kangourex";"Nidoqueen"
"Tortank";"Ronflex";"Tortank"
"Nidoking";"Lokhlass";"Lokhlass"
"Rafflesia (Femelle)";"Grolem";"Grolem"
"Nidoking";"Tentacruel";"Nidoking"
"Papilusion (Femelle)";"Kangourex";"Kangourex"
"Aéromite";"Crustabri";"Crustabri"
"Roucarnage";"Colossinge";"Roucarnage"
"Hypnomade (Femelle)";"Métamorph";"Métamorph"
"Staross";"Lippoutou";"Staross"
"Florizarre (Femelle)";"Triopikeur";"Florizarre (Femelle)"
"Léviator (Mâle)";"Mew";"Léviator (Mâle)"
"Mélodelfe";"Mackogneur";"Mackogneur"
"Smogogo";"Tauros";"Tauros"
"Rattatac (Mâle)";"Amonistar";"Rattatac (Mâle)"
"Florizarre (Femelle)";"Amonistar";"Florizarre (Femelle)"
"Arcanin";"Poissoroy (Mâle)";"Arcanin"
"Roucarnage";"Sulfura";"Roucarnage"
"Scarabrute";"Sulfura";"Sulfura"
"Mackogneur";"Electrode";"Mackogneur"
"Nidoking";"Poissoroy (Mâle)";"Nidoking"
"Dracaufeu";"Rattatac (Mâle)";"Dracaufeu"
"Electrode";"Tygnon";"Tygnon"
"Ectoplasma";"Sulfura";"Ectoplasma"
"Hypnomade (Femelle)";"Mew";"Mew"
"Sablaireau";"Nidoqueen";"Nidoqueen"
"Grotadmorv";"Tygnon";"Tygnon"
"Crustabri";"Mewtwo";"Crustabri"
"Nidoqueen";"Grodoudou";"Nidoqueen"
"Grodoudou";"Tygnon";"Tygnon"
"Nidoking";"Ptéra";"Nidoking"
"Tartard";"Lamantine";"Tartard"
"Lamantine";"Staross";"Staross"
"Arbok";"Dodrio (Mâle)";"Arbok"
"Ectoplasma";"Voltali";"Voltali"
"Sablaireau";"Empiflor";"Empiflor"
"Colossinge";"Lippoutou";"Colossinge"
"Rattatac (Mâle)";"Empiflor";"Empiflor"
"Empiflor";"Smogogo";"Empiflor"
"Raichu (Mâle)";"Electrode";"Electrode"
"Lokhlass";"Ptéra";"Lokhlass"
"Roucarnage";"Sablaireau";"Roucarnage"
"Persian";"Hypnomade (Femelle)";"Persian"
"Galopa";"M. Mime";"Galopa"
"Lamantine";"Mew";"Lamantine"
"Dardargnan";"Mew";"Dardargnan"
"Staross";"Mewtwo";"Staross"
"Tentacruel";"Mewtwo";"Mewtwo"
"Arcanin";"Ronflex";"Arcanin"
"Staross";"Kabutops";"Staross"
"Tygnon";"Kangourex";"Kangourex"
"Alakazam (Mâle)";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Alakazam (Mâle)";"Empiflor";"Empiflor"
"Sablaireau";"Lippoutou";"Sablaireau"
"Crustabri";"Scarabrute";"Crustabri"
"Voltali";"Amonistar";"Voltali"
"Dardargnan";"Nidoking";"Nidoking"
"Raichu (Mâle)";"Galopa";"Galopa"
"Noadkoko";"Léviator (Mâle)";"Léviator (Mâle)"
"Poissoroy (Mâle)";"Aquali";"Aquali"
"Alakazam (Mâle)";"Amonistar";"Alakazam (Mâle)"
"Lamantine";"Tygnon";"Lamantine"
"Raichu (Mâle)";"Ossatueur";"Ossatueur"
"Dracaufeu";"Lippoutou";"Dracaufeu"
"Persian";"Electhor";"Persian"
"Crustabri";"Smogogo";"Crustabri"
"Akwakwak";"Tygnon";"Tygnon"
"Mackogneur";"Canarticho";"Mackogneur"
"Raichu (Mâle)";"Krabboss";"Raichu (Mâle)"
"Triopikeur";"Alakazam (Mâle)";"Alakazam (Mâle)"
"Raichu (Mâle)";"Pyroli";"Pyroli"
"Nidoking";"Aéromite";"Aéromite"
"Colossinge";"Canarticho";"Canarticho"
"Aéromite";"Tygnon";"Aéromite"
"Sablaireau";"Alakazam (Mâle)";"Sablaireau"
"Dracolosse";"Mew";"Dracolosse"
"Empiflor";"Lippoutou";"Empiflor"
"Métamorph";"Voltali";"Voltali"
"Mackogneur";"Dracolosse";"Mackogneur"
"Rattatac (Mâle)";"Rafflesia (Femelle)";"Rattatac (Mâle)"
"Tentacruel";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Rafflesia (Femelle)";"Tygnon";"Tygnon"
"Mélodelfe";"Canarticho";"Canarticho"
"Ptéra";"Ronflex";"Ptéra"
"Nidoking";"Aquali";"Aquali"
"Tortank";"Triopikeur";"Tortank"
"Alakazam (Mâle)";"Tauros";"Tauros"
"Tartard";"Canarticho";"Canarticho"
"Tortank";"Empiflor";"Empiflor"
"Rafflesia (Femelle)";"Ptéra";"Ptéra"
"Triopikeur";"Aquali";"Aquali"
"Dodrio (Mâle)";"Krabboss";"Dodrio (Mâle)"
"Rattatac (Mâle)";"Dracolosse";"Rattatac (Mâle)"
"Tentacruel";"Lokhlass";"Lokhlass"
"Tortank";"Lamantine";"Tortank"
"Colossinge";"Kabutops";"Colossinge"
"Noadkoko";"M. Mime";"Noadkoko"
"Staross";"Métamorph";"Staross"
"Papilusion (Femelle)";"Ossatueur";"Papilusion (Femelle)"
"Tartard";"Léviator (Mâle)";"Tartard"
"Crustabri";"Kicklee";"Crustabri"
"Alakazam (Mâle)";"Electhor";"Alakazam (Mâle)"
"Sablaireau";"Noadkoko";"Sablaireau"
"Electrode";"Dracolosse";"Electrode"
"Dardargnan";"Triopikeur";"Dardargnan"
"Ectoplasma";"Dracolosse";"Dracolosse"
"Grolem";"Dracolosse";"Grolem"
"Sablaireau";"Triopikeur";"Sablaireau"
"Rafflesia (Femelle)";"Parasect";"Parasect"
"Aéromite";"Galopa";"Aéromite"
"Mélodelfe";"Aéromite";"Aéromite"
"Sulfura";"Mew";"Sulfura"
"Dardargnan";"Scarabrute";"Dardargnan"
"Rattatac (Mâle)";"Mewtwo";"Rattatac (Mâle)"
"Nidoqueen";"Kicklee";"Nidoqueen"
"Mackogneur";"Kangourex";"Kangourex"
"Tortank";"Artikodin";"Artikodin"
"Sablaireau";"Mew";"Sablaireau"
"Colossinge";"Tartard";"Tartard"
"Léviator (Mâle)";"Amonistar";"Léviator (Mâle)"
"Rafflesia (Femelle)";"Akwakwak";"Rafflesia (Femelle)"
"Ptéra";"Artikodin";"Artikodin"
"Scarabrute";"Dracolosse";"Scarabrute"
"Aéromite";"Amonistar";"Aéromite"
"Dracaufeu";"Léviator (Mâle)";"Dracaufeu"
"Florizarre (Femelle)";"Ossatueur";"Ossatueur"
"Grodoudou";"Canarticho";"Canarticho"
"Rafflesia (Femelle)";"Tartard";"Tartard"
"M. Mime";"Scarabrute";"Scarabrute"
"Tortank";"Canarticho";"Canarticho"
"Rapasdepic";"Tygnon";"Rapasdepic"
"Léviator (Mâle)";"Aquali";"Aquali"
"Ectoplasma";"Artikodin";"Artikodin"
"Dracaufeu";"Dardargnan";"Dracaufeu"
"Kabutops";"Electhor";"Kabutops"
"Noadkoko";"Métamorph";"Métamorph"
"Kabutops";"Ptéra";"Kabutops"
"Aquali";"Electhor";"Aquali"
"Mélodelfe";"Poissoroy (Mâle)";"Poissoroy (Mâle)"
"Staross";"M. Mime";"Staross"
"Persian";"Mew";"Persian"
"Aéromite";"Tartard";"Aéromite"
"M. Mime";"Amonistar";"Amonistar"
"Persian";"M. Mime";"Persian"
"Smogogo";"Electhor";"Smogogo"
"Akwakwak";"Kangourex";"Kangourex"
"Arbok";"Aéromite";"Arbok"
"Mackogneur";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Electrode";"Smogogo";"Electrode"
"Electrode";"Pyroli";"Pyroli"
"Dardargnan";"Lamantine";"Dardargnan"
"Roucarnage";"Grotadmorv";"Roucarnage"
"Arbok";"Pyroli";"Arbok"
"Persian";"Ossatueur";"Ossatueur"
"Mackogneur";"Lippoutou";"Mackogneur"
"Persian";"Alakazam (Mâle)";"Alakazam (Mâle)"
"Rafflesia (Femelle)";"Amonistar";"Rafflesia (Femelle)"
"Arcanin";"Hypnomade (Femelle)";"Arcanin"
"Hypnomade (Femelle)";"Scarabrute";"Scarabrute"
"Ectoplasma";"Amonistar";"Ectoplasma"
"Roucarnage";"Arbok";"Arbok"
"Grotadmorv";"Kangourex";"Kangourex"
"Rafflesia (Femelle)";"Noadkoko";"Rafflesia (Femelle)"
"Dracaufeu";"Sablaireau";"Dracaufeu"
"Tygnon";"Smogogo";"Tygnon"
"Parasect";"Lippoutou";"Parasect"
"Ptéra";"Electhor";"Ptéra"
"Dodrio (Mâle)";"Tygnon";"Dodrio (Mâle)"
"Persian";"Dracolosse";"Persian"
"Lokhlass";"Sulfura";"Lokhlass"
"Dracaufeu";"Dodrio (Mâle)";"Dracaufeu"
"Dodrio (Mâle)";"Métamorph";"Dodrio (Mâle)"
"Grotadmorv";"Hypnomade (Femelle)";"Grotadmorv"
"Raichu (Mâle)";"Mew";"Raichu (Mâle)"
"Electhor";"Sulfura";"Sulfura"
"Triopikeur";"Lippoutou";"Triopikeur"
"Rattatac (Mâle)";"Staross";"Staross"
"Tentacruel";"Kicklee";"Tentacruel"
"Parasect";"Persian";"Parasect"
"Roucarnage";"Galopa";"Galopa"
"Mackogneur";"Métamorph";"Mackogneur"
"Tentacruel";"Aquali";"Aquali"
"Sablaireau";"Ectoplasma";"Sablaireau"
"Empiflor";"Poissoroy (Mâle)";"Empiflor"
"Nidoking";"Arcanin";"Nidoking"
"Persian";"Tartard";"Tartard"
"Mélodelfe";"Kicklee";"Kicklee"
"Kangourex";"Dracolosse";"Kangourex"
"Dodrio (Mâle)";"Aquali";"Aquali"
"Mackogneur";"Hypnomade (Femelle)";"Mackogneur"
"Akwakwak";"Mackogneur";"Mackogneur"
"Dardargnan";"Lokhlass";"Lokhlass"
"Rattatac (Mâle)";"Mélodelfe";"Rattatac (Mâle)"
"Tortank";"Poissoroy (Mâle)";"Tortank"
"Lippoutou";"Tauros";"Tauros"
"Léviator (Mâle)";"Ronflex";"Léviator (Mâle)"
"Aéromite";"Pyroli";"Pyroli"
"Tygnon";"Tauros";"Tauros"
"Mackogneur";"Ronflex";"Mackogneur"
"Kabutops";"Mew";"Kabutops"
"Arbok";"Poissoroy (Mâle)";"Arbok"
"Feunard";"Hypnomade (Femelle)";"Feunard"
"Raichu (Mâle)";"Lamantine";"Lamantine"
"Tortank";"Mew";"Tortank"
"Smogogo";"Sulfura";"Sulfura"
"Aquali";"Dracolosse";"Aquali"
"Ectoplasma";"Poissoroy (Mâle)";"Ectoplasma"
"Sablaireau";"Tartard";"Sablaireau"
"Tentacruel";"Electhor";"Tentacruel"
"Tortank";"Nidoking";"Nidoking"
"Ossatueur";"Ptéra";"Ptéra"
"Aéromite";"Sulfura";"Aéromite"
"Electrode";"Métamorph";"Electrode"
"Dracaufeu";"Poissoroy (Mâle)";"Dracaufeu"
"Galopa";"Scarabrute";"Galopa"
"Parasect";"Poissoroy (Mâle)";"Poissoroy (Mâle)"
"Grodoudou";"Dracolosse";"Dracolosse"
"Raichu (Mâle)";"Parasect";"Raichu (Mâle)"
"Krabboss";"Staross";"Staross"
"Grodoudou";"Mackogneur";"Mackogneur"
"Tygnon";"Sulfura";"Tygnon"
"Triopikeur";"Noadkoko";"Triopikeur"
"Dardargnan";"Mélodelfe";"Dardargnan"
"Tartard";"Sulfura";"Tartard"
"Arbok";"Lokhlass";"Arbok"
"Tortank";"Lippoutou";"Tortank"
"Tortank";"Staross";"Staross"
"Arcanin";"Scarabrute";"Arcanin"
"Ptéra";"Dracolosse";"Dracolosse"
"Triopikeur";"Kabutops";"Kabutops"
"Florizarre (Femelle)";"Léviator (Mâle)";"Léviator (Mâle)"
"Akwakwak";"Galopa";"Galopa"
"Dardargnan";"Ronflex";"Dardargnan"
"Raichu (Mâle)";"Aquali";"Aquali"
"Grolem";"Dodrio (Mâle)";"Grolem"
"Tortank";"Persian";"Tortank"
"Rapasdepic";"Rafflesia (Femelle)";"Rapasdepic"
"Empiflor";"Grotadmorv";"Empiflor"
"Rafflesia (Femelle)";"Ectoplasma";"Ectoplasma"
"Dodrio (Mâle)";"Scarabrute";"Dodrio (Mâle)"
"Tentacruel";"Dracolosse";"Dracolosse"
"Mélodelfe";"Ossatueur";"Ossatueur"
"Scarabrute";"Mewtwo";"Mewtwo"
"Pyroli";"Sulfura";"Pyroli"
"Hypnomade (Femelle)";"Electhor";"Electhor"
"Triopikeur";"Kangourex";"Kangourex"
"Tauros";"Sulfura";"Tauros"
"Arbok";"Lamantine";"Arbok"
"Raichu (Mâle)";"Persian";"Raichu (Mâle)"
"Métamorph";"Amonistar";"Métamorph"
"Electrode";"Tauros";"Tauros"
"Arcanin";"Lamantine";"Arcanin"
"Ossatueur";"Mewtwo";"Ossatueur"
"Persian";"Canarticho";"Canarticho"
"Artikodin";"Mew";"Artikodin"
"M. Mime";"Tauros";"Tauros"
"Nidoking";"Canarticho";"Nidoking"
"Tortank";"Dardargnan";"Dardargnan"
"Smogogo";"Kangourex";"Kangourex"
"Feunard";"Ronflex";"Feunard"
"Triopikeur";"Electrode";"Electrode"
"Florizarre (Femelle)";"Canarticho";"Florizarre (Femelle)"
"Empiflor";"Mewtwo";"Empiflor"
"Roucarnage";"Noadkoko";"Roucarnage"
"Krabboss";"Scarabrute";"Scarabrute"
"Rafflesia (Femelle)";"Electrode";"Electrode"
"Empiflor";"Mew";"Empiflor"
"Noadkoko";"Lokhlass";"Lokhlass"
"Tentacruel";"Hypnomade (Femelle)";"Tentacruel"
"Raichu (Mâle)";"Ptéra";"Raichu (Mâle)"
"Papilusion (Femelle)";"Kicklee";"Papilusion (Femelle)"
"Tortank";"Feunard";"Feunard"
"Dracaufeu";"Raichu (Mâle)";"Dracaufeu"
"Akwakwak";"Amonistar";"Amonistar"
"Rafflesia (Femelle)";"Ronflex";"Ronflex"
"Tentacruel";"Electrode";"Electrode"
"Lokhlass";"Amonistar";"Lokhlass"
"Léviator (Mâle)";"Mewtwo";"Mewtwo"
"Lamantine";"Poissoroy (Mâle)";"Lamantine"
"Kangourex";"Léviator (Mâle)";"Kangourex"
"Roucarnage";"Tygnon";"Roucarnage"
"Tartard";"Grolem";"Grolem"
"Parasect";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Rapasdepic";"Hypnomade (Femelle)";"Rapasdepic"
"Dodrio (Mâle)";"Dracolosse";"Dodrio (Mâle)"
"Colossinge";"Ronflex";"Colossinge"
"Florizarre (Femelle)";"Rapasdepic";"Rapasdepic"
"Persian";"Galopa";"Galopa"
"Nidoqueen";"Empiflor";"Nidoqueen"
"Raichu (Mâle)";"Dodrio (Mâle)";"Dodrio (Mâle)"
"Aéromite";"Kangourex";"Kangourex"
"Tauros";"Ptéra";"Tauros"
"Galopa";"Mew";"Galopa"
"Rattatac (Mâle)";"Kangourex";"Kangourex"
"Tentacruel";"Ossatueur";"Ossatueur"
"Alakazam (Mâle)";"Mew";"Alakazam (Mâle)"
"Krabboss";"Lippoutou";"Krabboss"
"Roucarnage";"Hypnomade (Femelle)";"Roucarnage"
"Tartard";"Electrode";"Tartard"
"Florizarre (Femelle)";"Rattatac (Mâle)";"Florizarre (Femelle)"
"Mélodelfe";"Lamantine";"Lamantine"
"Ectoplasma";"Hypnomade (Femelle)";"Ectoplasma"
"Tartard";"Hypnomade (Femelle)";"Tartard"
"Pyroli";"Ptéra";"Pyroli"
"Ectoplasma";"Lippoutou";"Ectoplasma"
"Feunard";"Tygnon";"Feunard"
"Parasect";"Galopa";"Galopa"
"Roucarnage";"Parasect";"Roucarnage"
"Smogogo";"Voltali";"Voltali"
"Rattatac (Mâle)";"Mackogneur";"Mackogneur"
"Rafflesia (Femelle)";"Grotadmorv";"Grotadmorv"
"Florizarre (Femelle)";"Sablaireau";"Sablaireau"
