Rang;Pokemon
0;Flotte-Mèche
1;Boréas (Avatar)
2;Baojian
3;Shifours (Mille Poings)
4;Paume-de-Fer
5;Ogerpon (Masque Turquoise)
6;Démétéros (Totémique)
7;Gorythmic
8;Heatran
9;Yuyu
10;Gaulet
0;Boréas (Avatar)
1;Flotte-Mèche
2;Shifours (Mille Poings)
3;Baojian
4;Ogerpon (Masque Turquoise)
5;Gorythmic
6;Démétéros (Totémique)
7;Paume-de-Fer
8;Yuyu
9;Arcanin (Hisui)
10;Shifours (Poing Final)
0;Baojian
1;Flotte-Mèche
2;Shifours (Mille Poings)
3;Boréas (Avatar)
4;Gorythmic
5;Ogerpon (Masque Turquoise)
6;Paume-de-Fer
7;Démétéros (Totémique)
8;Dracolosse
9;Arcanin (Hisui)
10;Heatran
0;Shifours (Mille Poings)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Gorythmic
5;Démétéros (Totémique)
6;Paume-de-Fer
7;Ogerpon (Masque Turquoise)
8;Gaulet
9;Heatran
10;Arcanin (Hisui)
0;Paume-de-Fer
1;Flotte-Mèche
2;Baojian
3;Démétéros (Totémique)
4;Shifours (Mille Poings)
5;Gaulet
6;Boréas (Avatar)
7;Ogerpon (Masque Turquoise)
8;Cresselia
9;Ursaking
10;Heatran
0;Ogerpon (Masque Turquoise)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Baojian
4;Gorythmic
5;Démétéros (Avatar)
6;Shifours (Mille Poings)
7;Paume-de-Fer
8;Arcanin (Hisui)
9;Heatran
10;Shifours (Poing Final)
0;Gorythmic
1;Flotte-Mèche
2;Baojian
3;Boréas (Avatar)
4;Shifours (Mille Poings)
5;Ogerpon (Masque Turquoise)
6;Démétéros (Totémique)
7;Arcanin (Hisui)
8;Heatran
9;Shifours (Poing Final)
10;Gromago
0;Démétéros (Totémique)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Ogerpon (Masque Turquoise)
4;Paume-de-Fer
5;Baojian
6;Shifours (Mille Poings)
7;Gorythmic
8;Heatran
9;Gaulet
10;Shifours (Poing Final)
0;Heatran
1;Flotte-Mèche
2;Gorythmic
3;Shifours (Mille Poings)
4;Démétéros (Totémique)
5;Baojian
6;Boréas (Avatar)
7;Paume-de-Fer
8;Ogerpon (Masque Turquoise)
9;Cresselia
10;Shifours (Poing Final)
0;Gaulet
1;Flotte-Mèche
2;Paume-de-Fer
3;Shifours (Mille Poings)
4;Baojian
5;Démétéros (Totémique)
6;Boréas (Avatar)
7;Heatran
8;Cresselia
9;Yuyu
10;Gromago
0;Shifours (Poing Final)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Gorythmic
4;Démétéros (Totémique)
5;Paume-de-Fer
6;Ogerpon (Masque Turquoise)
7;Cresselia
8;Heatran
9;Ursaking
10;Baojian
0;Dracolosse
1;Baojian
2;Flotte-Mèche
3;Shifours (Mille Poings)
4;Paume-de-Fer
5;Boréas (Avatar)
6;Ogerpon (Masque Turquoise)
7;Gorythmic
8;Cresselia
9;Shifours (Poing Final)
10;Heatran
0;Cresselia
1;Ursaking
2;Flotte-Mèche
3;Paume-de-Fer
4;Shifours (Poing Final)
5;Heatran
6;Shifours (Mille Poings)
7;Dracolosse
8;Gaulet
9;Chartor
10;Démétéros (Avatar)
0;Yuyu
1;Flotte-Mèche
2;Boréas (Avatar)
3;Paume-de-Fer
4;Shifours (Mille Poings)
5;Démétéros (Totémique)
6;Ogerpon (Masque Turquoise)
7;Baojian
8;Gorythmic
9;Gaulet
10;Gromago
0;Arcanin (Hisui)
1;Flotte-Mèche
2;Boréas (Avatar)
3;Gorythmic
4;Baojian
5;Shifours (Mille Poings)
6;Ogerpon (Masque Turquoise)
7;Shifours (Poing Final)
8;Gromago
9;Paume-de-Fer
10;Angoliath
0;Gromago
1;Boréas (Avatar)
2;Shifours (Mille Poings)
3;Flotte-Mèche
4;Gorythmic
5;Démétéros (Totémique)
6;Baojian
7;Ogerpon (Masque Turquoise)
8;Paume-de-Fer
9;Shifours (Poing Final)
10;Gaulet
0;Ursaking
1;Cresselia
2;Flotte-Mèche
3;Paume-de-Fer
4;Chartor
5;Shifours (Poing Final)
6;Shifours (Mille Poings)
7;Dracolosse
8;Heatran
9;Wimessir (Femelle)
10;Gaulet
0;Wimessir (Femelle)
1;Carmadura
2;Flotte-Mèche
3;Chartor
4;Shifours (Mille Poings)
5;Boréas (Avatar)
6;Ursaking
7;Paume-de-Fer
8;Ogerpon (Masque Turquoise)
9;Fragilady (Hisui)
10;Baojian
0;Chartor
1;Flotte-Mèche
2;Wimessir (Femelle)
3;Carmadura
4;Ursaking
5;Paume-de-Fer
6;Fragilady (Hisui)
7;Cresselia
8;Ogerpon (Masque Turquoise)
9;Shifours (Poing Final)
10;Sorcilence
0;Angoliath
1;Démétéros (Avatar)
2;Flotte-Mèche
3;Gorythmic
4;Ogerpon (Masque Turquoise)
5;Paume-de-Fer
6;Muplodocus (Hisui)
7;Arcanin (Hisui)
8;Théffroyable (Forme Médiocre)
9;Shifours (Mille Poings)
10;Gromago
