Type;Acier;Combat;Dragon;Eau;Electrik;Fée;Feu;Glace;Insecte;Normal;Plante;Poison;Psy;Roche;Sol;Spectre;Ténèbres;Vol
Acier;0.5;2;0.5;1;1;0.5;2;0.5;0.5;0.5;0.5;0;0.5;0.5;2;1;1;0.5
Combat;1;1;1;1;1;2;1;1;0.5;1;1;1;2;0.5;1;1;0.5;2
Dragon;1;1;2;0.5;0.5;2;0.5;2;1;1;0.5;1;1;1;1;1;1;1
Eau;0.5;1;1;0.5;2;1;0.5;0.5;1;1;2;1;1;1;1;1;1;1
Electrik;0.5;1;1;1;0.5;1;1;1;1;1;1;1;1;1;2;1;1;0.5
Fée;2;0.5;0;1;1;1;1;1;0.5;1;1;2;1;1;1;1;0.5;1
Feu;0.5;1;1;2;1;0.5;0.5;0.5;0.5;1;0.5;1;1;2;2;1;1;1
Glace;2;2;1;1;1;1;2;0.5;1;1;1;1;1;2;1;1;1;1
Insecte;1;0.5;1;1;1;1;2;1;1;1;0.5;1;1;2;0.5;1;1;2
Normal;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Plante;1;1;1;0.5;0.5;1;2;2;2;1;0.5;2;1;1;0.5;1;1;2
Poison;1;0.5;1;1;1;0.5;1;1;0.5;1;0.5;0.5;2;1;2;1;1;1
Psy;1;0.5;1;1;1;1;1;1;2;1;1;1;0.5;1;1;2;2;1
Roche;2;2;1;2;1;1;0.5;1;1;0.5;2;0.5;1;1;2;1;1;0.5
Sol;1;1;1;2;0;1;1;2;1;1;2;0.5;1;0.5;1;1;1;1
Spectre;1;0;1;1;1;1;1;1;0.5;0;1;0.5;1;1;1;2;2;1
Ténèbres;1;2;1;1;1;2;1;1;2;1;1;1;0;1;1;0.5;0.5;1
Vol;1;0.5;1;1;2;1;1;2;0.5;1;0.5;1;1;2;0;1;1;1
